Loading cora dataset...
Test set results: loss= 0.6535 accuracy= 0.8450
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
              model_inference         0.25%       3.541ms       100.00%        1.401s        1.401s             1  
                     aten::mm        94.83%        1.329s        94.85%        1.329s      49.214ms            27  
      aten::repeat_interleave         0.06%     894.805us         2.73%      38.260ms       2.126ms            18  
                  aten::copy_         1.68%      23.589ms         1.68%      23.589ms     637.553us            37  
                     aten::to         0.01%     132.737us         1.67%      23.370ms     973.731us            24  
                    aten::cat         0.01%     184.837us         1.31%      18.287ms       1.829ms            10  
                   aten::_cat         0.04%     585.794us         1.29%      18.102ms       1.810ms            10  
                aten::resize_         1.25%      17.530ms         1.25%      17.530ms     357.750us            49  
                  aten::empty         0.67%       9.335ms         0.67%       9.335ms      50.733us           184  
                 aten::repeat         0.03%     355.714us         0.66%       9.215ms       1.024ms             9  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.401s

