Loading cora dataset...
Test set results: loss= 0.6535 accuracy= 0.8450
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::empty         0.66%       9.234ms         0.66%       9.234ms      50.184us         348 b         348 b       3.67 Gb       3.67 Gb           184  
                  aten::zeros         0.00%      36.359us         0.00%      62.469us      62.469us           4 b           0 b           0 b           0 b             1  
                  aten::zero_         0.00%      11.830us         0.00%      19.140us      19.140us           0 b           0 b           0 b           0 b             1  
                  aten::fill_         0.01%     123.469us         0.01%     123.469us      12.347us           0 b           0 b           0 b           0 b            10  
                aten::dropout         0.00%      33.251us         0.00%      33.251us       3.023us           0 b           0 b           0 b           0 b            11  
                     aten::mm        94.81%        1.320s        94.83%        1.320s      48.906ms           0 b           0 b     253.25 Mb           0 b            27  
                 aten::stride         0.02%     273.133us         0.02%     273.133us       0.828us           0 b           0 b           0 b           0 b           330  
      aten::repeat_interleave         0.06%     872.605us         2.72%      37.853ms       2.103ms           0 b         -72 b       2.93 Gb    -423.00 Kb            18  
                     aten::to         0.01%     131.598us         1.66%      23.105ms     962.727us           0 b           0 b      12.50 Kb           0 b            24  
          aten::empty_strided         0.01%     197.789us         0.01%     197.789us      10.410us           0 b           0 b     252.19 Mb     252.19 Mb            19  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.392s

