Loading cora dataset...
Test set results: loss= 1.9570 accuracy= 0.1340
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::mm        74.46%        1.337s       125.21%        2.249s     374.782ms             6  
                                   model_inference         0.09%       1.626ms       100.00%        1.796s        1.796s             1  
                               aten::_sparse_addmm         0.00%      24.920us        25.36%     455.537ms     227.768ms             2  
                                       aten::addmm        24.96%     448.287ms        25.36%     455.512ms     227.756ms             2  
                                       aten::copy_         0.29%       5.126ms         0.29%       5.126ms     341.738us            15  
                                    aten::coalesce         0.05%     987.575us         0.11%       1.954ms     977.049us             2  
                                       aten::index         0.01%     209.497us         0.02%     292.637us      73.159us             4  
                                       aten::empty         0.01%     265.281us         0.01%     265.281us       5.202us            51  
                                       aten::zeros         0.00%      67.939us         0.01%     214.327us      71.442us             3  
                                          aten::to         0.00%      64.960us         0.01%     210.488us      26.311us             8  
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.796s

