Loading cora dataset...
Test set results: loss= 1.9723 accuracy= 0.1440
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::empty         0.02%     288.232us         0.02%     288.232us       5.652us         276 b         276 b       2.77 Mb       2.77 Mb            51  
                                       aten::zeros         0.00%      62.960us         0.01%     210.279us      70.093us           4 b           0 b       1.00 Kb           0 b             3  
                                       aten::zero_         0.00%      46.889us         0.01%     166.689us      33.338us           0 b           0 b           0 b           0 b             5  
                                       aten::fill_         0.01%     119.800us         0.01%     119.800us      23.960us           0 b           0 b           0 b           0 b             5  
                                          aten::mm        74.79%        1.345s       124.88%        2.246s     374.329ms           0 b           0 b     732.00 Kb      -1.00 Kb             6  
                                      aten::stride         0.00%      19.521us         0.00%      19.521us       0.887us           0 b           0 b           0 b           0 b            22  
                               aten::_sparse_addmm         0.00%      23.860us        25.03%     450.230ms     225.115ms           0 b           0 b     244.00 Kb           0 b             2  
                                       aten::addmm        24.63%     443.003ms        25.03%     450.207ms     225.103ms           0 b           0 b     244.00 Kb    -993.00 Kb             2  
                                      aten::expand         0.00%      25.009us         0.00%      39.569us      19.785us           0 b           0 b           0 b           0 b             2  
                                  aten::as_strided         0.00%      53.451us         0.00%      53.451us       2.545us           0 b           0 b           0 b           0 b            21  
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.799s

