Loading cora dataset...
Test set results: loss= 0.6535 accuracy= 0.8450
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
              model_inference         0.27%       3.821ms       100.00%        1.407s        1.407s             1  
                     aten::mm        94.77%        1.333s        94.78%        1.334s      49.390ms            27  
      aten::repeat_interleave         0.06%     877.403us         2.73%      38.353ms       2.131ms            18  
                  aten::copy_         1.67%      23.546ms         1.67%      23.546ms     636.381us            37  
                     aten::to         0.01%     139.657us         1.66%      23.330ms     972.099us            24  
                    aten::cat         0.01%     178.757us         1.36%      19.153ms       1.915ms            10  
                   aten::_cat         0.04%     593.782us         1.35%      18.974ms       1.897ms            10  
                aten::resize_         1.31%      18.390ms         1.31%      18.390ms     375.300us            49  
                  aten::empty         0.66%       9.290ms         0.66%       9.290ms      50.490us           184  
                 aten::repeat         0.03%     377.350us         0.65%       9.195ms       1.022ms             9  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.407s

