Loading cora dataset...
Test set results: loss= 0.6535 accuracy= 0.8450
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::empty         0.75%      10.596ms         0.75%      10.596ms      57.586us         348 b         348 b       3.67 Gb       3.67 Gb           184  
                  aten::zeros         0.00%      29.690us         0.00%      55.389us      55.389us           4 b           0 b           0 b           0 b             1  
                  aten::zero_         0.00%      12.730us         0.00%      19.050us      19.050us           0 b           0 b           0 b           0 b             1  
                  aten::fill_         0.01%     136.209us         0.01%     136.209us      13.621us           0 b           0 b           0 b           0 b            10  
                aten::dropout         0.00%      32.942us         0.00%      32.942us       2.995us           0 b           0 b           0 b           0 b            11  
                     aten::mm        94.36%        1.331s        94.37%        1.331s      49.287ms           0 b           0 b     253.25 Mb           0 b            27  
                 aten::stride         0.02%     292.572us         0.02%     292.572us       0.887us           0 b           0 b           0 b           0 b           330  
      aten::repeat_interleave         0.07%     943.476us         2.96%      41.736ms       2.319ms           0 b         -72 b       2.93 Gb    -423.00 Kb            18  
                     aten::to         0.01%     143.577us         1.57%      22.119ms     921.623us           0 b           0 b      12.50 Kb           0 b            24  
          aten::empty_strided         0.01%     211.048us         0.01%     211.048us      11.108us           0 b           0 b     252.19 Mb     252.19 Mb            19  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.410s

