Loading cora dataset...
Test set results: loss= 1.8984 accuracy= 0.2920
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::mm        74.88%        1.358s       124.80%        2.264s     377.361ms             6  
                                   model_inference         0.09%       1.615ms       100.00%        1.814s        1.814s             1  
                               aten::_sparse_addmm         0.00%      23.540us        24.95%     452.665ms     226.332ms             2  
                                       aten::addmm        24.56%     445.505ms        24.95%     452.641ms     226.321ms             2  
                                       aten::copy_         0.28%       5.060ms         0.28%       5.060ms     337.311us            15  
                                    aten::coalesce         0.05%     972.625us         0.11%       1.907ms     953.404us             2  
                                       aten::index         0.01%     195.799us         0.02%     276.277us      69.069us             4  
                                       aten::empty         0.01%     263.421us         0.01%     263.421us       5.165us            51  
                                       aten::zeros         0.00%      71.290us         0.01%     204.387us      68.129us             3  
                                          aten::to         0.00%      63.168us         0.01%     199.208us      24.901us             8  
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.814s

