Loading cora dataset...
Test set results: loss= 2.0027 accuracy= 0.1200
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::empty         0.02%     291.247us         0.02%     291.247us       5.711us         276 b         276 b       2.77 Mb       2.77 Mb            51  
                                       aten::zeros         0.00%      80.868us         0.01%     241.736us      80.579us           4 b           0 b       1.00 Kb           0 b             3  
                                       aten::zero_         0.00%      58.769us         0.01%     179.227us      35.845us           0 b           0 b           0 b           0 b             5  
                                       aten::fill_         0.01%     120.458us         0.01%     120.458us      24.092us           0 b           0 b           0 b           0 b             5  
                                          aten::mm        74.52%        1.346s       125.14%        2.260s     376.708ms           0 b           0 b     732.00 Kb      -1.00 Kb             6  
                                      aten::stride         0.00%      21.279us         0.00%      21.279us       0.967us           0 b           0 b           0 b           0 b            22  
                               aten::_sparse_addmm         0.00%      25.430us        25.30%     456.957ms     228.478ms           0 b           0 b     244.00 Kb           0 b             2  
                                       aten::addmm        24.90%     449.766ms        25.30%     456.932ms     228.466ms           0 b           0 b     244.00 Kb    -993.00 Kb             2  
                                      aten::expand         0.00%      26.110us         0.00%      42.140us      21.070us           0 b           0 b           0 b           0 b             2  
                                  aten::as_strided         0.00%      53.359us         0.00%      53.359us       2.541us           0 b           0 b           0 b           0 b            21  
--------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.806s

