==76== NVPROF is profiling process 76, command: python /gnns/pyGAT/test.py --pkl_file gat.pkl
==76== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==76== Profiling application: python /gnns/pyGAT/test.py --pkl_file gat.pkl
==76== Profiling result:
==76== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Quadro GV100 (0)","void at::native::_GLOBAL__N__55_tmpxft_0000239e_00000000_13_Indexing_compute_80_cpp1_ii_09181334::indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(at::cuda::detail::TensorInfo<float, unsigned int>, unsigned int, at::cuda::detail<long, float>, int, int, float, float, long)",9,"dram_read_transactions","Device Memory Read Transactions",1835766,1836700,1836150
"Quadro GV100 (0)","void at::native::_GLOBAL__N__55_tmpxft_0000239e_00000000_13_Indexing_compute_80_cpp1_ii_09181334::indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(at::cuda::detail::TensorInfo<float, unsigned int>, unsigned int, at::cuda::detail<long, float>, int, int, float, float, long)",9,"dram_write_transactions","Device Memory Write Transactions",6393649,7322166,7212277
"Quadro GV100 (0)","void at::native::_GLOBAL__N__55_tmpxft_0000239e_00000000_13_Indexing_compute_80_cpp1_ii_09181334::indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(at::cuda::detail::TensorInfo<float, unsigned int>, unsigned int, at::cuda::detail<long, float>, int, int, float, float, long)",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Quadro GV100 (0)","void at::native::_GLOBAL__N__55_tmpxft_0000239e_00000000_13_Indexing_compute_80_cpp1_ii_09181334::indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(at::cuda::detail::TensorInfo<float, unsigned int>, unsigned int, at::cuda::detail<long, float>, int, int, float, float, long)",9,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Quadro GV100 (0)","void at::native::_GLOBAL__N__55_tmpxft_0000239e_00000000_13_Indexing_compute_80_cpp1_ii_09181334::indexSelectLargeIndex<float, unsigned int, int=2, int=2, int=-2, bool=1>(at::cuda::detail::TensorInfo<float, unsigned int>, unsigned int, at::cuda::detail<long, float>, int, int, float, float, long)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"Quadro GV100 (0)","void at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"dram_read_transactions","Device Memory Read Transactions",917603,919207,918033
"Quadro GV100 (0)","void at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"dram_write_transactions","Device Memory Write Transactions",895436,1309746,990739
"Quadro GV100 (0)","void at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Quadro GV100 (0)","void at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"flop_count_sp","Floating Point Operations(Single Precision)",170293856,170293856,170293856
"Quadro GV100 (0)","void at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00002acb_00000000_13_SoftMax_compute_80_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"dram_read_transactions","Device Memory Read Transactions",642,1452,1047
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"dram_write_transactions","Device Memory Write Transactions",236,27548,13892
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"dram_read_transactions","Device Memory Read Transactions",810,810,810
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"dram_write_transactions","Device Memory Write Transactions",26156,26604,26380
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_",2,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIhNS0_14func_wrapper_tIhZNS0_15and_kernel_cudaERNS_14TensorIteratorEEUlhhE_EEjhLi4EEEEEvT1_",9,"dram_read_transactions","Device Memory Read Transactions",315,391,353
"Quadro GV100 (0)","_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIhNS0_14func_wrapper_tIhZNS0_15and_kernel_cudaERNS_14TensorIteratorEEUlhhE_EEjhLi4EEEEEvT1_",9,"dram_write_transactions","Device Memory Write Transactions",20,165,46
"Quadro GV100 (0)","_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIhNS0_14func_wrapper_tIhZNS0_15and_kernel_cudaERNS_14TensorIteratorEEUlhhE_EEjhLi4EEEEEvT1_",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIhNS0_14func_wrapper_tIhZNS0_15and_kernel_cudaERNS_14TensorIteratorEEUlhhE_EEjhLi4EEEEEvT1_",9,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIhNS0_14func_wrapper_tIhZNS0_15and_kernel_cudaERNS_14TensorIteratorEEUlhhE_EEjhLi4EEEEEvT1_",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"Quadro GV100 (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"dram_read_transactions","Device Memory Read Transactions",786,1152,995
"Quadro GV100 (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"dram_write_transactions","Device Memory Write Transactions",20,23943,2744
"Quadro GV100 (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Quadro GV100 (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Quadro GV100 (0)","void cub::DeviceScanKernel<cub::AgentScanPolicy<int=128, int=15, long, cub::BlockLoadAlgorithm, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm, cub::MemBoundScaling<int=128, int=15, long>>, long*, long*, cub::ScanTileState<long, bool=1>, std::plus<long>, cub::NullType, int>(int=15, long, cub::BlockLoadAlgorithm, int, cub::CacheLoadModifier, cub::BlockStoreAlgorithm, cub::BlockScanAlgorithm)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",9,"dram_read_transactions","Device Memory Read Transactions",1467,2737,2299
"Quadro GV100 (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",9,"dram_write_transactions","Device Memory Write Transactions",6392064,7296563,7194948
"Quadro GV100 (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",9,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_81_GLOBAL__N__57_tmpxft_000013b2_00000000_13_Activation_compute_80_cpp1_ii_150aa41217leaky_relu_kernelERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE0_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"dram_read_transactions","Device Memory Read Transactions",916738,917138,916790
"Quadro GV100 (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_81_GLOBAL__N__57_tmpxft_000013b2_00000000_13_Activation_compute_80_cpp1_ii_150aa41217leaky_relu_kernelERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE0_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"dram_write_transactions","Device Memory Write Transactions",882692,1118910,938248
"Quadro GV100 (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_81_GLOBAL__N__57_tmpxft_000013b2_00000000_13_Activation_compute_80_cpp1_ii_150aa41217leaky_relu_kernelERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE0_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_81_GLOBAL__N__57_tmpxft_000013b2_00000000_13_Activation_compute_80_cpp1_ii_150aa41217leaky_relu_kernelERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE0_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"flop_count_sp","Floating Point Operations(Single Precision)",2494283,5094531,3833123
"Quadro GV100 (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_81_GLOBAL__N__57_tmpxft_000013b2_00000000_13_Activation_compute_80_cpp1_ii_150aa41217leaky_relu_kernelERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE0_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"Quadro GV100 (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE4_clEvEUllE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",18,"dram_read_transactions","Device Memory Read Transactions",9,353,304
"Quadro GV100 (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE4_clEvEUllE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",18,"dram_write_transactions","Device Memory Write Transactions",36,21844,1376
